2011-09-02 17:26:09 Notice: Notice (8): Undefined property: NewsController::$Session in [/Users/tbt/Sites/peterpincus.com/app/controllers/news_controller.php, line 78]
2011-09-02 17:47:17 Notice: Notice (8): Undefined property: CategoriesController::$Session in [/Users/tbt/Sites/peterpincus.com/app/controllers/categories_controller.php, line 78]
2011-09-22 21:13:15 Notice: Notice (8): Undefined index: width in [/Users/tbt/Sites/peterpincus.com/app/models/behaviors/meio_upload.php, line 647]
2011-09-22 21:13:15 Notice: Notice (8): Undefined index: height in [/Users/tbt/Sites/peterpincus.com/app/models/behaviors/meio_upload.php, line 647]
2011-09-23 23:28:01 Notice: Notice (8): Undefined variable: piece in [/Users/tbt/Sites/peterpincus.com/app/views/pieces/index.ctp, line 4]
2011-10-16 20:47:24 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 54]
2011-10-16 20:49:20 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 54]
2011-10-16 20:55:20 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 79]
2011-10-16 20:55:20 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 82]
2011-10-16 20:55:20 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 83]
2011-10-16 20:57:01 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 79]
2011-10-16 20:57:01 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 82]
2011-10-16 20:57:01 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 83]
2011-10-16 21:11:10 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 79]
2011-10-16 21:11:10 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 82]
2011-10-16 21:11:10 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 83]
2011-10-26 22:40:16 Notice: Notice (8): Undefined index:  filename in [/homepages/17/d278810503/htdocs/peterpincus/app/models/behaviors/meio_upload.php, line 685]
2011-10-26 22:40:54 Notice: Notice (8): Undefined index:  filename in [/homepages/17/d278810503/htdocs/peterpincus/app/models/behaviors/meio_upload.php, line 685]
2011-10-26 22:42:09 Notice: Notice (8): Undefined index:  filename in [/homepages/17/d278810503/htdocs/peterpincus/app/models/behaviors/meio_upload.php, line 685]
2011-10-26 22:42:18 Notice: Notice (8): Undefined index:  filename in [/homepages/17/d278810503/htdocs/peterpincus/app/models/behaviors/meio_upload.php, line 685]
2011-10-27 10:02:56 Notice: Notice (8): Undefined index:  filename in [/homepages/17/d278810503/htdocs/peterpincus/app/models/behaviors/meio_upload.php, line 685]
2011-11-08 16:30:28 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/controllers/categories_controller.php, line 16]
2012-09-15 22:22:00 Notice: Notice (8): Undefined index:  available in [/homepages/17/d278810503/htdocs/peterpincus/app/views/categories/purchase.ctp, line 35]
2012-09-15 22:26:16 Notice: Notice (8): Undefined index:  available in [/homepages/17/d278810503/htdocs/peterpincus/app/views/categories/purchase.ctp, line 35]
2012-09-15 22:29:18 Notice: Notice (8): Undefined index:  available in [/homepages/17/d278810503/htdocs/peterpincus/app/views/categories/purchase.ctp, line 35]
2012-09-15 23:00:59 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 79]
2012-09-15 23:00:59 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 82]
2012-09-15 23:00:59 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 83]
